sub_id,shortest_path,startpoint_id,endpoint_id,opt1_id,opt2_id,correct_choice,opt1_distance,opt2_distance,softmax_temperature,p_choose_opt1,simulated_choice
464,4,2,11,1,3,1,4,8,-3.2760379905812442,0.99999796324764,1
464,4,2,11,1,4,1,4,8,-3.2760379905812442,0.99999796324764,1
464,4,2,12,1,3,1,4,8,-3.2760379905812442,0.99999796324764,1
464,4,2,12,1,4,1,4,8,-3.2760379905812442,0.99999796324764,1
464,4,3,9,2,4,2,4,5,-3.2760379905812442,0.963597562012661,2
464,4,3,9,2,5,2,4,6,-3.2760379905812442,0.9985748840690769,2
464,4,3,10,2,4,2,4,5,-3.2760379905812442,0.963597562012661,2
464,4,3,10,2,5,2,4,6,-3.2760379905812442,0.9985748840690769,2
464,4,4,9,2,3,2,4,5,-3.2760379905812442,0.963597562012661,2
464,4,4,9,2,5,2,4,6,-3.2760379905812442,0.9985748840690769,2
464,4,4,9,2,6,2,4,8,-3.2760379905812442,0.99999796324764,2
464,4,4,10,2,3,2,4,5,-3.2760379905812442,0.963597562012661,2
464,4,4,10,2,5,2,4,6,-3.2760379905812442,0.9985748840690769,2
464,4,4,10,2,6,2,4,8,-3.2760379905812442,0.99999796324764,2
464,4,5,8,3,7,3,4,6,-3.2760379905812442,0.9985748840690769,3
464,4,5,8,4,7,4,4,6,-3.2760379905812442,0.9985748840690769,4
464,4,6,8,4,7,4,4,6,-3.2760379905812442,0.9985748840690769,4
464,4,8,5,1,9,1,4,8,-3.2760379905812442,0.99999796324764,1
464,4,8,5,1,10,1,4,8,-3.2760379905812442,0.99999796324764,1
464,4,8,6,1,9,1,4,8,-3.2760379905812442,0.99999796324764,1
464,4,8,6,1,10,1,4,8,-3.2760379905812442,0.99999796324764,1
464,4,9,3,8,11,8,4,7,-3.2760379905812442,0.9999460885614536,8
464,4,9,4,8,11,8,4,7,-3.2760379905812442,0.9999460885614536,8
464,4,10,3,8,12,8,4,7,-3.2760379905812442,0.9999460885614536,8
464,4,10,4,8,12,8,4,7,-3.2760379905812442,0.9999460885614536,8
464,4,11,2,9,12,9,4,5,-3.2760379905812442,0.963597562012661,9
464,4,11,2,9,13,9,4,6,-3.2760379905812442,0.9985748840690769,9
464,4,12,2,10,11,10,4,5,-3.2760379905812442,0.963597562012661,11
464,4,12,2,10,13,10,4,6,-3.2760379905812442,0.9985748840690769,10
465,2,1,3,2,8,2,2,8,-3.6237622518092394,0.9999999996391553,2
465,2,1,4,2,8,2,2,8,-3.6237622518092394,0.9999999996391553,2
465,2,1,9,8,2,8,2,8,-3.6237622518092394,0.9999999996391553,8
465,2,1,10,8,2,8,2,8,-3.6237622518092394,0.9999999996391553,8
465,2,2,5,3,1,3,2,8,-3.6237622518092394,0.9999999996391553,3
465,2,2,5,4,1,4,2,8,-3.6237622518092394,0.9999999996391553,4
465,2,2,6,4,1,4,2,8,-3.6237622518092394,0.9999999996391553,4
465,2,2,6,4,3,4,2,3,-3.6237622518092394,0.9740113297369076,4
465,2,2,8,1,3,1,2,8,-3.6237622518092394,0.9999999996391553,1
465,2,2,8,1,4,1,2,8,-3.6237622518092394,0.9999999996391553,1
465,2,3,1,2,4,2,2,3,-3.6237622518092394,0.9740113297369076,2
