sub_id,node_id,node_name,node_race,node_gender,node_stim
4,1,Jacob,latine,male,CFD-LM-216-082-N
4,2,Olivia,black,female,CFD-BF-235-168-N
4,3,Sophia,latine,female,CFD-LF-228-125-N
4,4,Amir,black,male,CFD-BM-247-240-N
4,5,Joshua,latine,male,CFD-LM-231-214-N
4,6,Miriam,white,female,CFD-WF-223-133-N
4,7,Jack,white,male,CFD-WM-229-129-N
4,8,Liam,black,male,CFD-BM-204-003-N
4,9,Ivy,asian,female,CFD-AF-228-173-N
4,10,Joanna,asian,female,CFD-AF-240-206-N
4,11,Emma,latine,female,CFD-LF-227-054-N
4,12,Matthew,asian,male,CFD-AM-211-052-N
4,13,Ryan,asian,male,CFD-AM-238-269-N
5,1,Catherine,asian,female,CFD-AF-201-060-N
5,2,Charles,white,male,CFD-WM-208-068-N
5,3,Sebastian,latine,male,CFD-LM-210-156-N
5,4,Ethan,asian,male,CFD-AM-237-154-N
5,5,Noah,latine,male,CFD-LM-207-004-N
5,6,Adam,white,male,CFD-WM-238-020-N
5,7,Gabriella,white,female,CFD-WF-214-122-N
5,8,Emily,white,female,CFD-WF-219-038-N
5,9,Alexander,asian,male,CFD-AM-220-134-N
5,10,Olivia,latine,female,CFD-LF-214-090-N
5,11,Taylor,black,female,CFD-BF-247-179-N
5,12,Jenny,asian,female,CFD-AF-234-208-N
5,13,Jeremiah,black,male,CFD-BM-247-240-N
6,1,Lucas,latine,male,CFD-LM-241-125-N
6,2,Benjamin,white,male,CFD-WM-247-084-N
6,3,Emily,asian,female,CFD-AF-250-200-N
6,4,Taylor,black,female,CFD-BF-249-091-N
6,5,Christian,black,male,CFD-BM-229-209-N
6,6,Andy,asian,male,CFD-AM-246-184-N
6,7,Kevin,latine,male,CFD-LM-214-165-N
6,8,Valentina,latine,female,CFD-LF-232-199-N
6,9,Hailey,latine,female,CFD-LF-250-169-N
6,10,Emma,white,female,CFD-WF-201-156-N
6,11,Daniel,asian,male,CFD-AM-228-214-N
6,12,Thomas,white,male,CFD-WM-234-118-N
6,13,Vivian,asian,female,CFD-AF-201-060-N
7,1,Alex,asian,male,CFD-AM-207-108-N
7,2,Christopher,black,male,CFD-BM-214-075-N
7,3,Arianna,black,female,CFD-BF-223-250-N
7,4,Sarah,asian,female,CFD-AF-226-251-N
7,5,Andrew,white,male,CFD-WM-229-129-N
7,6,Isabella,latine,female,CFD-LF-223-064-N
7,7,Olivia,black,female,CFD-BF-221-223-N
7,8,Sophia,latine,female,CFD-LF-232-199-N
7,9,Adrian,latine,male,CFD-LM-244-068-N
7,10,Angela,asian,female,CFD-AF-222-134-N
7,11,Chloe,white,female,CFD-WF-211-001-N
7,12,Brandon,latine,male,CFD-LM-214-165-N
7,13,Vincent,asian,male,CFD-AM-220-134-N
8,1,Esther,white,female,CFD-WF-234-086-N
8,2,Jacob,white,male,CFD-WM-235-147-N
8,3,Hailey,latine,female,CFD-LF-244-096-N
8,4,Christopher,black,male,CFD-BM-204-003-N
8,5,Ava,black,female,CFD-BF-221-223-N
8,6,Jasmine,asian,female,CFD-AF-256-160-N
8,7,Rachel,white,female,CFD-WF-203-229-N
8,8,Samuel,white,male,CFD-WM-230-131-N
8,9,Vivian,asian,female,CFD-AF-217-155-N
8,10,Brianna,latine,female,CFD-LF-223-064-N
8,11,Alexander,latine,male,CFD-LM-223-175-N
8,12,Tyler,black,male,CFD-BM-201-077-N
8,13,Lucas,asian,male,CFD-AM-201-076-N
9,1,Emily,asian,female,CFD-AF-201-060-N
9,2,Miriam,white,female,CFD-WF-235-121-N
9,3,Andrew,asian,male,CFD-AM-221-184-N
9,4,Makayla,black,female,CFD-BF-247-179-N
9,5,Nicholas,white,male,CFD-WM-208-068-N
9,6,Leah,white,female,CFD-WF-236-107-N
9,7,Joseph,latine,male,CFD-LM-239-075-N
9,8,Leslie,latine,female,CFD-LF-219-223-N
9,9,Mason,black,male,CFD-BM-247-240-N
9,10,James,white,male,CFD-WM-238-020-N
9,11,Jayden,black,male,CFD-BM-235-226-N
9,12,David,latine,male,CFD-LM-208-110-N
9,13,Aaliyah,black,female,CFD-BF-207-004-N
10,1,Mason,black,male,CFD-BM-239-136-N
10,2,Makayla,black,female,CFD-BF-207-004-N
10,3,Kayla,black,female,CFD-BF-226-119-N
10,4,Jenny,asian,female,CFD-AF-205-155-N
10,5,Angela,asian,female,CFD-AF-229-160-N
10,6,Rachel,white,female,CFD-WF-208-068-N
10,7,Henry,white,male,CFD-WM-219-008-N
10,8,Abigail,white,female,CFD-WF-207-014-N
10,9,Nathaniel,black,male,CFD-BM-226-276-N
10,10,Arianna,latine,female,CFD-LF-214-090-N
10,11,Andrew,asian,male,CFD-AM-250-149-N
10,12,Alexander,latine,male,CFD-LM-238-129-N
10,13,Michael,white,male,CFD-WM-200-034-N
11,1,Bella,latine,female,CFD-LF-206-078-N
11,2,Andrew,white,male,CFD-WM-209-038-N
11,3,Daniel,latine,male,CFD-LM-212-143-N
11,4,Emma,white,female,CFD-WF-252-159-N
11,5,Liam,white,male,CFD-WM-232-070-N
11,6,Jaden,black,male,CFD-BM-204-003-N
11,7,Miriam,white,female,CFD-WF-236-107-N
11,8,Ava,black,female,CFD-BF-207-004-N
11,9,Olivia,asian,female,CFD-AF-229-160-N
11,10,Laila,black,female,CFD-BF-226-119-N
11,11,Emily,latine,female,CFD-LF-210-220-N
11,12,Tristan,black,male,CFD-BM-226-276-N
11,13,Ethan,asian,male,CFD-AM-244-222-N
12,1,Anthony,white,male,CFD-WM-229-129-N
12,2,Brianna,latine,female,CFD-LF-251-057-N
12,3,Jacob,asian,male,CFD-AM-229-224-N
12,4,Benjamin,white,male,CFD-WM-231-112-N
12,5,Christian,black,male,CFD-BM-208-065-N
12,6,Ava,white,female,CFD-WF-243-148-N
12,7,Sebastian,latine,male,CFD-LM-211-128-N
12,8,Vivian,asian,female,CFD-AF-203-077-N
12,9,Mason,latine,male,CFD-LM-207-004-N
12,10,Mia,black,female,CFD-BF-235-168-N
12,11,Ryan,asian,male,CFD-AM-211-052-N
12,12,Jaden,black,male,CFD-BM-214-075-N
12,13,Camila,latine,female,CFD-LF-229-164-N
13,1,Victoria,latine,female,CFD-LF-211-003-N
13,2,Ivan,asian,male,CFD-AM-207-108-N
13,3,Abigail,black,female,CFD-BF-207-004-N
13,4,Michael,black,male,CFD-BM-210-148-N
13,5,Olivia,asian,female,CFD-AF-208-003-N
