measurement_id,sub_id,trial,target_id,guess_id,guess_number,guess_correct
1,5,4,4,2,2,1
1,5,4,4,5,3,1
1,5,5,13,8,1,0
1,5,5,13,9,2,0
1,5,6,12,5,1,0
1,5,6,12,1,2,0
1,5,7,7,1,1,0
1,5,7,7,9,2,0
1,5,8,8,13,1,0
1,5,8,8,6,2,0
1,5,8,8,2,3,0
1,5,9,9,7,1,0
1,5,9,9,10,2,0
1,5,10,11,3,1,0
1,5,10,11,2,2,0
1,5,10,11,12,3,1
1,5,11,5,6,1,0
1,5,11,5,4,2,1
1,5,11,5,2,3,0
1,5,12,2,6,1,0
1,5,12,2,8,2,0
1,5,12,2,1,3,1
1,5,13,1,5,1,0
1,5,13,1,12,2,0
1,6,1,4,3,1,1
1,6,1,4,2,2,1
1,6,1,4,6,3,1
1,6,1,4,5,4,1
1,6,2,10,8,1,1
1,6,2,10,7,2,0
1,6,3,13,12,1,1
1,6,3,13,11,2,1
1,6,4,8,10,1,1
1,6,4,8,9,2,1
1,6,4,8,1,3,1
1,6,5,6,4,1,1
1,6,5,6,7,2,1
1,6,6,2,4,1,1
1,6,6,2,1,2,1
1,6,6,2,3,3,1
1,6,7,1,8,1,1
1,6,7,1,7,2,0
1,6,8,5,4,1,1
1,6,8,5,7,2,1
1,6,9,11,9,1,1
1,6,9,11,12,2,1
1,6,9,11,13,3,1
1,6,10,3,2,1,1
1,6,10,3,4,2,1
1,6,10,3,5,3,1
1,6,11,7,10,1,0
1,6,11,7,9,2,0
1,6,12,9,4,1,0
1,6,12,9,12,2,0
1,6,13,12,10,1,1
1,6,13,12,13,2,1
1,6,13,12,11,3,1
1,7,1,7,6,1,1
1,7,1,7,5,2,1
1,7,2,13,12,1,1
1,7,2,13,11,2,1
1,7,3,10,12,1,1
1,7,3,10,8,2,1
1,7,4,4,6,1,1
1,7,4,4,3,2,1
1,7,4,4,1,3,0
1,7,4,4,2,4,1
1,7,5,9,11,1,1
1,7,5,9,1,2,0
1,7,6,8,10,1,1
1,7,6,8,11,2,0
1,7,7,6,4,1,1
1,7,7,6,7,2,1
1,7,8,2,3,1,1
1,7,8,2,1,2,1
1,7,9,11,13,1,1
1,7,9,11,9,2,1
1,7,9,11,12,3,1
1,7,10,3,2,1,1
1,7,10,3,4,2,1
1,7,10,3,1,3,0
1,7,10,3,8,4,0
1,7,11,12,11,1,1
1,7,11,12,10,2,1
1,7,11,12,13,3,1
1,7,12,5,3,1,1
1,7,12,5,7,2,1
1,7,13,1,9,1,0
1,7,13,1,4,2,0
1,8,1,12,11,1,1
1,8,1,12,13,2,1
1,8,1,12,10,3,1
1,8,2,5,7,1,1
1,8,2,5,4,2,1
1,8,2,5,3,3,1
1,8,3,1,8,1,1
1,8,3,1,13,2,0
1,8,3,1,2,3,1
1,8,4,8,10,1,1
1,8,4,8,1,2,1
1,8,4,8,9,3,1
1,8,5,13,11,1,1
1,8,5,13,12,2,1
1,8,6,9,6,1,0
1,8,6,9,8,2,1
1,8,7,6,7,1,1
1,8,7,6,13,2,0
1,8,8,11,13,1,1
1,8,8,11,12,2,1
1,8,9,4,3,1,1
1,8,9,4,6,2,1
1,8,9,4,2,3,1
1,8,9,4,5,4,1
1,8,10,7,5,1,1
1,8,10,7,6,2,1
1,8,11,3,2,1,1
1,8,11,3,5,2,1
1,8,11,3,4,3,1
1,8,12,2,5,1,0
1,8,12,2,3,2,1
1,8,12,2,4,3,1
1,8,13,10,12,1,1
1,8,13,10,8,2,1
1,9,1,10,12,1,1
1,9,1,10,8,2,1
1,9,1,10,13,3,0
1,9,2,9,8,1,1
1,9,2,9,11,2,1
1,9,3,4,2,1,1
1,9,3,4,5,2,1
1,9,3,4,6,3,1
1,9,3,4,3,4,1
1,9,3,4,7,5,0
1,9,4,7,5,1,1
1,9,4,7,4,2,0
