study,sub_id,measurement_id,model,param_name,param_value,neg_loglik
Study 1,11,D1,bfs,search_threshold,8.295262859049956,55.50406551267786
Study 1,11,D1,bfs,lapse_rate,0.06075598665165678,55.50406551267786
Study 1,11,D1,hybrid,search_threshold,7.757107680463874e-6,50.82966697617544
Study 1,11,D1,hybrid,sr_gamma,0.7148982666052042,50.82966697617544
Study 1,11,D1,hybrid,softmax_temperature,1.24593904463845,50.82966697617544
Study 1,11,D1,sr,sr_gamma,0.6822142874850495,48.17575503931253
Study 1,11,D1,sr,softmax_temperature,15.42152462630577,48.17575503931253
Study 1,11,D1,sr,lapse_rate,0.29565840854780795,48.17575503931253
Study 1,12,D1,bfs,search_threshold,6.826947425203017,72.85135364116785
Study 1,12,D1,bfs,lapse_rate,0.3350709696730251,72.85135364116785
Study 1,12,D1,hybrid,search_threshold,6.288545949140813e-6,71.5792028843665
Study 1,12,D1,hybrid,sr_gamma,0.23152598432587793,71.5792028843665
Study 1,12,D1,hybrid,softmax_temperature,1.0426386087131965,71.5792028843665
Study 1,12,D1,sr,sr_gamma,0.4393437512129407,70.57491608531438
Study 1,12,D1,sr,softmax_temperature,0.22165081277792803,70.57491608531438
Study 1,12,D1,sr,lapse_rate,0.4512095785702317,70.57491608531438
Study 1,13,D1,bfs,search_threshold,35.16112286668913,63.51583715425377
Study 1,13,D1,bfs,lapse_rate,0.3661579936463229,63.51583715425377
Study 1,13,D1,hybrid,search_threshold,1.622355743211979e-5,62.450681988535315
Study 1,13,D1,hybrid,sr_gamma,0.8933622893310242,62.450681988535315
Study 1,13,D1,hybrid,softmax_temperature,1.289554921647545,62.450681988535315
Study 1,13,D1,sr,sr_gamma,0.989999999936794,58.906818702506
Study 1,13,D1,sr,softmax_temperature,8.647042754444186,58.906818702506
Study 1,13,D1,sr,lapse_rate,0.3710252943062761,58.906818702506
Study 1,14,D1,bfs,search_threshold,31.347776844554613,48.68379639320554
Study 1,14,D1,bfs,lapse_rate,0.18344830894136915,48.68379639320554
Study 1,14,D1,hybrid,search_threshold,2.7479382301180864,48.983790949424574
Study 1,14,D1,hybrid,sr_gamma,0.7981919920163483,48.983790949424574
Study 1,14,D1,hybrid,softmax_temperature,1.3398441062999271,48.983790949424574
Study 1,14,D1,sr,sr_gamma,0.7231849066251821,42.59321995292007
Study 1,14,D1,sr,softmax_temperature,16.48387632837614,42.59321995292007
Study 1,14,D1,sr,lapse_rate,0.24347456573042395,42.59321995292007
Study 1,15,D1,bfs,search_threshold,7.529630705525118,63.256965108770906
Study 1,15,D1,bfs,lapse_rate,0.11536580520192964,63.256965108770906
Study 1,15,D1,hybrid,search_threshold,1.64318895211804,61.908137372907376
Study 1,15,D1,hybrid,sr_gamma,0.5809496268280554,61.908137372907376
Study 1,15,D1,hybrid,softmax_temperature,1.1245727420620628,61.908137372907376
Study 1,15,D1,sr,sr_gamma,0.3170767831434228,60.73473307659958
Study 1,15,D1,sr,softmax_temperature,0.30458871602776294,60.73473307659958
Study 1,15,D1,sr,lapse_rate,0.258380458546417,60.73473307659958
Study 1,16,D1,bfs,search_threshold,6.772720240026399,60.690672814894846
Study 1,16,D1,bfs,lapse_rate,2.778352746222713e-9,60.690672814894846
Study 1,16,D1,hybrid,search_threshold,4.843093637826567,56.02741376213686
Study 1,16,D1,hybrid,sr_gamma,0.08467223046724656,56.02741376213686
Study 1,16,D1,hybrid,softmax_temperature,1.1318938496018616,56.02741376213686
Study 1,16,D1,sr,sr_gamma,0.18100138926952392,58.28113337276102
Study 1,16,D1,sr,softmax_temperature,0.09536547449461356,58.28113337276102
Study 1,16,D1,sr,lapse_rate,0.05455707752779918,58.28113337276102
Study 1,17,D1,bfs,search_threshold,8.861458772165085,78.10765924495628
Study 1,17,D1,bfs,lapse_rate,0.7351406925425674,78.10765924495628
Study 1,17,D1,hybrid,search_threshold,1.3927003239717572e-5,78.60163096044363
Study 1,17,D1,hybrid,sr_gamma,0.8209157829473007,78.60163096044363
Study 1,17,D1,hybrid,softmax_temperature,1.0399839637332249,78.60163096044363
Study 1,17,D1,sr,sr_gamma,0.8274001514875027,78.66742697499033
Study 1,17,D1,sr,softmax_temperature,0.03977071117670573,78.66742697499033
Study 1,17,D1,sr,lapse_rate,1.7095175667614389e-4,78.66742697499033
