model,study,sub_id,measurement_id,param_name,param_value,neg_loglik
ideal_obs,Study 3,3,D1,softmax_temperature,-8.346206271500341e-9,79.71192578108614
ideal_obs,Study 3,3,D1b,softmax_temperature,-8.346206271500341e-9,79.71192580612475
ideal_obs,Study 3,3,D2,softmax_temperature,-8.346206271500341e-9,79.71192593131785
ideal_obs,Study 3,4,D1,softmax_temperature,-0.6747324127950639,46.885393436278655
ideal_obs,Study 3,4,D1b,softmax_temperature,-1.007801988621506,34.61293378475999
ideal_obs,Study 3,4,D2,softmax_temperature,-1.007801988621506,34.61293378475999
ideal_obs,Study 3,5,D1,softmax_temperature,-0.18171095802891937,74.78265706438108
ideal_obs,Study 3,5,D1b,softmax_temperature,-0.07396938554386595,78.82911181097104
ideal_obs,Study 3,5,D2,softmax_temperature,-0.14269500363719048,76.56441329350024
ideal_obs,Study 3,6,D1,softmax_temperature,-0.5131980805657734,55.11060917456383
ideal_obs,Study 3,6,D1b,softmax_temperature,-0.7055749331701632,45.50553332771844
ideal_obs,Study 3,6,D2,softmax_temperature,-1.0078019686369513,34.61293378475999
ideal_obs,Study 3,7,D1,softmax_temperature,-0.27975662686737124,69.28926606045368
ideal_obs,Study 3,7,D1b,softmax_temperature,-0.5041841618742888,55.61927961340798
ideal_obs,Study 3,7,D2,softmax_temperature,-1.7696268657283498,18.907019517171292
ideal_obs,Study 3,8,D1,softmax_temperature,-0.3396216247015942,65.58279224387417
ideal_obs,Study 3,8,D1b,softmax_temperature,-0.3562941383448981,64.53911824533267
ideal_obs,Study 3,8,D2,softmax_temperature,-0.4255312745091152,60.252134335222955
ideal_obs,Study 3,9,D1,softmax_temperature,-8.346206271500341e-9,79.71192579777855
ideal_obs,Study 3,9,D1b,softmax_temperature,-8.346206271500341e-9,79.7119259980875
ideal_obs,Study 3,9,D2,softmax_temperature,-8.346206271500341e-9,79.71192588124062
ideal_obs,Study 3,10,D1,softmax_temperature,-0.0645573149143288,79.03688374114958
ideal_obs,Study 3,10,D1b,softmax_temperature,-0.09303829591440922,78.32826670520605
ideal_obs,Study 3,10,D2,softmax_temperature,-0.08028670268149493,78.67486175223057
ideal_obs,Study 3,11,D1,softmax_temperature,-0.284392072268753,69.00719639101061
ideal_obs,Study 3,11,D1b,softmax_temperature,-0.2661747146079276,70.10804470461676
ideal_obs,Study 3,11,D2,softmax_temperature,-0.2320532921947847,72.09907033217893
ideal_obs,Study 3,12,D1,softmax_temperature,-1.0814029823831497,32.52562926647837
ideal_obs,Study 3,12,D1b,softmax_temperature,-8.346206271500341e-9,79.71192592297164
ideal_obs,Study 3,12,D2,softmax_temperature,-0.3860140314108578,62.68442761010962
ideal_obs,Study 3,13,D1,softmax_temperature,-3.5997949587688045,4.591523176877992
ideal_obs,Study 3,13,D1b,softmax_temperature,-3.599795016210271,4.591523176877995
ideal_obs,Study 3,13,D2,softmax_temperature,-4.999999870437376,0.24302622263159857
ideal_obs,Study 3,14,D1,softmax_temperature,-0.08028670268268107,78.67486175223057
ideal_obs,Study 3,14,D1b,softmax_temperature,-0.14959494459920555,76.27213627038239
ideal_obs,Study 3,14,D2,softmax_temperature,-0.0866418865807154,78.5079397396461
ideal_obs,Study 3,15,D1,softmax_temperature,-0.09625302290042304,78.23362199155211
ideal_obs,Study 3,15,D1b,softmax_temperature,-0.08028670268268107,78.67486175223057
ideal_obs,Study 3,15,D2,softmax_temperature,-0.16009645037033549,75.80764633692243
ideal_obs,Study 3,16,D1,softmax_temperature,-4.999999870437376,0.24302622263159857
ideal_obs,Study 3,16,D1b,softmax_temperature,-3.599795016210271,4.591523176877995
ideal_obs,Study 3,16,D2,softmax_temperature,-4.999999870437376,0.24302622263159857
ideal_obs,Study 3,17,D1,softmax_temperature,-0.16009645037033549,75.80764633692243
ideal_obs,Study 3,17,D1b,softmax_temperature,-0.11580125252489058,77.59769297115248
ideal_obs,Study 3,17,D2,softmax_temperature,-0.33962162470854096,65.58279224387417
ideal_obs,Study 3,18,D1,softmax_temperature,-3.599795016210271,4.591523176877995
ideal_obs,Study 3,18,D1b,softmax_temperature,-1.9035315362209448,17.072429457628974
ideal_obs,Study 3,18,D2,softmax_temperature,-3.599795016210271,4.591523176877995
ideal_obs,Study 3,19,D1,softmax_temperature,-0.1426950036400508,76.56441329350024
ideal_obs,Study 3,19,D1b,softmax_temperature,-0.03361246919832378,79.52726610742528
ideal_obs,Study 3,19,D2,softmax_temperature,-0.1291159079315668,77.10794109841468
ideal_obs,Study 3,20,D1,softmax_temperature,-1.6564178305067316,20.618553196763905
ideal_obs,Study 3,20,D1b,softmax_temperature,-2.924303444608278,7.813754356523115
ideal_obs,Study 3,20,D2,softmax_temperature,-1.5589655557700828,22.225090755197613
ideal_obs,Study 3,21,D1,softmax_temperature,-0.817704506203305,40.95251142672583
ideal_obs,Study 3,21,D1b,softmax_temperature,-1.3318596684377937,26.540893057492134
ideal_obs,Study 3,21,D2,softmax_temperature,-1.473892278865416,23.740600229514808
ideal_obs,Study 3,22,D1,softmax_temperature,-0.7220565007499409,44.791780434384194
ideal_obs,Study 3,22,D1b,softmax_temperature,-3.599795016210271,4.591523176877995
ideal_obs,Study 3,22,D2,softmax_temperature,-4.999999870437376,0.24302622263159857
ideal_obs,Study 3,23,D1,softmax_temperature,-0.08028670268268107,78.67486175223057
ideal_obs,Study 3,23,D1b,softmax_temperature,-0.11250995762964366,77.71184739051468
ideal_obs,Study 3,23,D2,softmax_temperature,-0.18540104596598592,74.59910328668639
ideal_obs,Study 3,24,D1,softmax_temperature,-0.4954119092987247,56.11905804412802
ideal_obs,Study 3,24,D1b,softmax_temperature,-0.2530441839830043,70.88676558993659
ideal_obs,Study 3,24,D2,softmax_temperature,-0.24876042028787296,71.13766415626921
ideal_obs,Study 3,25,D1,softmax_temperature,-0.1928634034030472,74.22085747324412
ideal_obs,Study 3,25,D1b,softmax_temperature,-0.2445207656787906,71.38430112442114
ideal_obs,Study 3,25,D2,softmax_temperature,-0.22797707467023665,72.32908231688204
ideal_obs,Study 3,26,D1,softmax_temperature,-0.6463822130422296,48.20612287934093
ideal_obs,Study 3,26,D1b,softmax_temperature,-1.12286337475185,31.423783580569875
ideal_obs,Study 3,26,D2,softmax_temperature,-2.0657743503535015,15.090563570675828
ideal_obs,Study 3,27,D1,softmax_temperature,-0.13587019564406264,76.84296636919646
ideal_obs,Study 3,27,D1b,softmax_temperature,-0.08345935453987623,78.59298952490172
ideal_obs,Study 3,27,D2,softmax_temperature,-0.03361246372543449,79.52726610742529
ideal_obs,Study 3,28,D1,softmax_temperature,-0.10923259818992986,77.8227175203133
ideal_obs,Study 3,28,D1b,softmax_temperature,-0.02748053335078218,79.58835682041445
ideal_obs,Study 3,28,D2,softmax_temperature,-0.21597075022660736,72.99492277606144
ideal_obs,Study 3,29,D1,softmax_temperature,-0.1817109503559376,74.78265706438108
ideal_obs,Study 3,29,D1b,softmax_temperature,-0.10596869068466835,77.93031705988292
ideal_obs,Study 3,29,D2,softmax_temperature,-0.11580125859733652,77.59769297115248
ideal_obs,Study 3,30,D1,softmax_temperature,-1.217424770171731,29.086330248677573
ideal_obs,Study 3,30,D1b,softmax_temperature,-1.6564178305098525,20.618553196763912
ideal_obs,Study 3,30,D2,softmax_temperature,-2.537482163533865,10.530915882941375
ideal_obs,Study 3,31,D1,softmax_temperature,-0.28439206306949566,69.00719639101062
ideal_obs,Study 3,31,D1b,softmax_temperature,-0.29864883810311577,68.13277012126751
ideal_obs,Study 3,31,D2,softmax_temperature,-0.5731863457948172,51.85691141350273
ideal_obs,Study 3,32,D1,softmax_temperature,-0.08028670268268107,78.67486175223057
ideal_obs,Study 3,32,D1b,softmax_temperature,-0.17804718337591313,74.96253397874828
ideal_obs,Study 3,32,D2,softmax_temperature,-0.09947936501037868,78.13575677725503
